Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status,Release Year,Trailer ID,Trailer Title
The Boy,William Brent Bell,"['Matt Berenson', 'Jodyne Herron', 'Gary Lucchesi', 'Tom Rosenberg', 'Jim Wedaa']",Daniel Pearl,,97.0,2016-01-20,"['STX Entertainment', ' (United States)', 'Huayi Brothers (China)']",English,Stacey Menear,"['James Russell', 'Lauren Cohan', 'Rupert Evans', 'Jim Norton', 'Diana Hardcastle']",Brian Berdan,Bear McCreary,"['Lakeshore Entertainment', 'Huayi Brothers Pictures', 'Vertigo Entertainment', 'STXfilms']",,,10000000.0,64200000.0,Success,2016,,
Kung Fu Panda 3,"['Jennifer Yuh Nelson', 'Alessandro Carloni']",Melissa Cobb,,,95.0,2016-01-23,20th Century Fox,English,"['Jonathan Aibel', 'Glenn Berger']","['Jack Black', 'Bryan Cranston', 'Dustin Hoffman', 'Angelina Jolie', 'J.K. Simmons', 'Seth Rogen', 'Lucy Liu', 'David Cross', 'Kate Hudson', 'James Hong', 'Randall Duk Kim', 'Jackie Chan']",Clare Knight,Hans Zimmer,"['DreamWorks Animation', 'China Film Group Corporation', 'Oriental DreamWorks', 'Zhong Ming You Ying Film']",,,145000000.0,521200000.00000006,Success,2016,,
The Finest Hours,Craig Gillespie,"['Jim Whitaker', 'Dorothy Aufiero']",Javier Aguirresarobe,United States,117.0,2016-01-25,"['Walt Disney Studios', 'Motion Pictures']",English,"['Scott Silver', 'Paul Tamasy', 'Eric Johnson']","['Chris Pine', 'Casey Affleck', 'Ben Foster', 'Holliday Grainger', 'John Ortiz', 'Eric Bana']",Tatiana S. Riegel,Carter Burwell,"['Walt Disney Pictures', 'Whitaker Entertainment', 'Red Hawk Entertainment']","[""The Finest Hours: The True Story of the U.S. Coast Guard's Most Daring Sea Rescue"", 'by ', 'Michael J. Tougias', 'and ', 'Casey Sherman']",,70000000.0,52100000.0,Failure,2016,,
Fifty Shades of Black,Michael Tiddes,"['Marlon Wayans', 'Rick Alvarez']",David Ortkiese,United States,92.0,2016-01-29,Open Road Films,English,"['Marlon Wayans', 'Rick Alvarez']","['Marlon Wayans', 'Kali Hawk', 'Affion Crockett', 'Jane Seymour', 'Andrew Bachelor', 'Florence Henderson', 'Jenny Zigrino', 'Fred Willard', 'Mike Epps']",Lawrence Jordan,Jim Dooley,"['IM Global', 'Baby Way Productions']",,,5000000.0,22200000.0,Success,2016,,
Jane Got a Gun,Gavin O'Connor,"['Natalie Portman', 'Aleen Keshishian', 'Zack Schiller', 'Mary Regency Boies', 'Scott Steindorff', 'Scott LaStaiti', 'Terry Dougas']",Mandy Walker,United States,98.0,2015-12-31,The Weinstein Company,English,"['Brian Duffield', 'Anthony Tambakis', 'Joel Edgerton']","['Natalie Portman', 'Joel Edgerton', 'Noah Emmerich', 'Rodrigo Santoro', 'Boyd Holbrook', 'Ewan McGregor']",Alan Cody,"['Lisa Gerrard', 'Marcello De Francisci']","['Boies/Schiller Film Group', 'Handsomecharlie Films', '1821 Pictures', 'Stone Village', 'WeatherVane Productions']",,Brian Duffield,25000000.0,3800000.0,Failure,2015,,
"Hail, Caesar!","['Joel Coen', 'Ethan Coen']","['Joel Coen', 'Ethan Coen', 'Tim Bevan', 'Eric Fellner']",Roger Deakins,,106.0,2016-02-01,Universal Pictures,English,"['Joel Coen', 'Ethan Coen']","['Josh Brolin', 'George Clooney', 'Alden Ehrenreich', 'Ralph Fiennes', 'Jonah Hill', 'Scarlett Johansson', 'Frances McDormand', 'Tilda Swinton', 'Channing Tatum']","['Reginald Jaynes', 'Roderick Jaynes']",Carter Burwell,"['Working Title Films', 'Mike Zoss Productions']",,,22000000.0,63600000.0,Success,2016,,
Pride and Prejudice and Zombies,Burr Steers,"['Sean McKittrick', 'Allison Shearmur', 'Natalie Portman', 'Annette Savitch', 'Brian Oliver', 'Tyler Thompson', 'Marc Butan']",Remi Adefarasin,,108.0,2016-01-21,"['Sony Pictures Releasing (United States)', 'Lionsgate (United Kingdom)']",English,Burr Steers,"['Lily James', 'Sam Riley', 'Jack Huston', 'Bella Heathcote', 'Douglas Booth', 'Matt Smith', 'Charles Dance', 'Lena Headey']",Padraic McKinley,Fernando Velázquez,"['Screen Gems', 'Cross Creek Pictures', 'Sierra Pictures', 'MadRiver Pictures', 'QC Entertainment', 'Allison Shearmur Productions', 'Handsomecharlie Films', 'Head Gear Films']","['Pride and Prejudice and Zombies', 'by ', 'Seth Grahame-Smith']",,28000000.0,16399999.999999998,Failure,2016,,
The Choice,Ross Katz,"['Nicholas Sparks', 'Peter Safran', 'Theresa Park']",Alar Kivilo,United States,111.0,2016-02-05,Lionsgate,English,Bryan Sipe,"['Benjamin Walker', 'Teresa Palmer', 'Maggie Grace', 'Alexandra Daddario', 'Tom Welling', 'Tom Wilkinson']","['Joe Klotz', 'Lucy Donaldson']",Marcelo Zarvos,"['Nicholas Sparks Productions', 'The Safran Company']","['The Choice', 'by ', 'Nicholas Sparks']",,10000000.0,23400000.0,Success,2016,,
Deadpool,Tim Miller,"['Simon Kinberg', 'Ryan Reynolds', 'Lauren Shuler Donner']",Ken Seng,United States,108.0,2016-02-08,20th Century Fox,English,"['Rhett Reese', 'Paul Wernick']","['Ryan Reynolds', 'Morena Baccarin', 'Ed Skrein', 'T. J. Miller', 'Gina Carano', 'Brianna Hildebrand']",Julian Clarke,Tom Holkenborg,"['Marvel Entertainment', 'TSG Entertainment', 'Kinberg Genre', ""The Donners' Company""]","['Fabian Nicieza', 'Rob Liefeld']",,58000000.0,782800000.0,Success,2016,,
Zoolander 2,Ben Stiller,"['Ben Stiller', 'Stuart Cornfeld', 'Scott Rudin', 'Clayton Townsend', 'Jeff Mann']",Dan Mindel,United States,102.0,2016-02-04,Paramount Pictures,English,"['Justin Theroux', 'Ben Stiller', 'Nick Stoller', 'John Hamburg']","['Ben Stiller', 'Owen Wilson', 'Will Ferrell', 'Penélope Cruz', 'Kristen Wiig', 'Fred Armisen']",Greg Hayden,Theodore Shapiro,"['Red Hour Productions', 'Scott Rudin Productions']","['Characters created', 'by ', 'Drake Sather', 'Ben Stiller']",,50000000.0,56700000.0,Failure,2016,,
How to Be Single,Christian Ditter,"['John Rickard', 'Dana Fox']",Christian Rein,United States,110.0,2016-02-09,Warner Bros. Pictures,English,"['Abby Kohn', 'Marc Silverstein', 'Dana Fox']","['Dakota Johnson', 'Rebel Wilson', 'Damon Wayans Jr.', 'Anders Holm', 'Alison Brie', 'Nicholas Braun', 'Jake Lacy', 'Jason Mantzoukas', 'Leslie Mann']",Tia Nolan,Fil Eisler,"['New Line Cinema', 'Metro-Goldwyn-Mayer', 'RatPac-Dune Entertainment', 'Flower Films', 'Wrigley Pictures']","['How to Be Single', 'by ', 'Liz Tuccillo']","['Abby Kohn', 'Marc Silverstein']",38000000.0,112300000.0,Success,2016,,
Risen,Kevin Reynolds,"['Patrick Aiello', 'Mickey Liddell', 'Pete Shilaimon']",Lorenzo Senatore,,107.0,2016-02-15,Sony Pictures Releasing,English,"['Kevin Reynolds', 'Paul Aiello']","['Joseph Fiennes', 'Tom Felton', 'Peter Firth', 'Cliff Curtis']",Steve Mirkovich,Roque Baños,"['Columbia Pictures', 'LD Entertainment', 'Affirm Films']",,Paul Aiello,20000000.0,46400000.0,Success,2016,,
The Witch,Robert Eggers,"['Jay Van Hoy', 'Lars Knudsen', 'Jodi Redmond', 'Daniel Bekerman', 'Rodrigo Teixeira']",Jarin Blaschke,,92.0,2015-01-27,"['A24 (United States)', 'Elevation Pictures (Canada)']",Early Modern English,Robert Eggers,"['Anya Taylor-Joy', 'Ralph Ineson', 'Kate Dickie', 'Harvey Scrimshaw', 'Ellie Grainger', 'Lucas Dawson']",Louise Ford,Mark Korven,"['Parts and Labor', 'RT Features', 'Rooks Nest Entertainment', 'Maiden Voyage Pictures', 'Mott Street Pictures', 'Code Red Productions', 'Scythia Films', 'Pulse Films', 'Special Projects']",,,4000000.0,40400000.0,Success,2015,,
Gods of Egypt,Alex Proyas,"['Basil Iwanyk', 'Alex Proyas']",Peter Menzies Jr.,,127.0,2016-02-25,"['Lionsgate', ' (United States)', 'Entertainment One', ' (Australia)']",English,"['Matt Sazama', 'Burk Sharpless']","['Nikolaj Coster-Waldau', 'Gerard Butler', 'Brenton Thwaites', 'Chadwick Boseman', 'Élodie Yung', 'Courtney Eaton', 'Rufus Sewell', 'Geoffrey Rush']",Richard Learoyd,Marco Beltrami,"['Summit Entertainment', 'Mystery Clock Cinema', 'Thunder Road Films']",,,140000000.0,150700000.0,Failure,2016,,
Triple 9,John Hillcoat,"['Keith Redmon', 'Bard Dorros', 'Marc Butan', 'Anthony Katagas', 'Christopher Woodrow', 'John Hillcoat']",Nicolas Karakatsanis,United States,116.0,2016-02-16,Open Road Films,English,Matt Cook,"['Casey Affleck', 'Chiwetel Ejiofor', 'Anthony Mackie', 'Aaron Paul', 'Clifton Collins Jr.', 'Norman Reedus', 'Teresa Palmer', 'Michael K. Williams', 'Gal Gadot', 'Woody Harrelson', 'Kate Winslet']",Dylan Tichenor,"['Atticus Ross', 'Bobby Krlic', 'Leopold Ross', 'Claudia Sarne']","['Worldview Entertainment', 'Sierra Pictures', 'Anonymous Content', 'MadRiver Pictures', 'SureFire Capital']",,,20000000.0,25900000.0,Failure,2016,,
Eddie the Eagle,Dexter Fletcher,"['Adam Bohling', 'David Reid', 'Rupert Maconick', 'Valerie Van Galder', 'Matthew Vaughn']",George Richmond,,106.0,2015-12-12,"['Lionsgate (UK/Ireland)', '20th Century Fox (Worldwide)']",English,"['Sean Macaulay', 'Simon Kelton']","['Taron Egerton', 'Hugh Jackman', 'Christopher Walken', 'Iris Berben', 'Jim Broadbent']",Martin Walsh,Matthew Margeson,"['Marv', 'Studio Babelsberg', 'Saville Productions', 'TSG Entertainment']",,Simon Kelton,23000000.0,46200000.0,Failure,2015,,
Zootopia,"['Byron Howard', 'Rich Moore']",Clark Spencer,"['Nathan Warner (layout)', 'Brian Leach (lighting)']",United States,108.0,2016-02-13,"['Walt Disney Studios', 'Motion Pictures']",English,"['Jared Bush', 'Phil Johnston']","['Ginnifer Goodwin', 'Jason Bateman', 'Idris Elba', 'Jenny Slate', 'Nate Torrence', 'Bonnie Hunt', 'Don Lake', 'Tommy Chong', 'J. K. Simmons', 'Octavia Spencer', 'Alan Tudyk', 'Shakira']","['Fabienne Rawley', 'Jeremy Milton']",Michael Giacchino,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",,"['Byron Howard', 'Rich Moore', 'Jared Bush', 'Jim Reardon', 'Josie Trinidad', 'Phil Johnston', 'Jennifer Lee']",150000000.0,1025000000.0,Success,2016,,
London Has Fallen,Babak Najafi,"['Gerard Butler', 'Alan Siegel', 'Mark Gill', 'John Thompson', ""Matt O'Toole"", 'Les Weldon']",Ed Wild,United States,99.0,2016-03-01,Focus Features (through Gramercy Pictures ),English,"['Creighton Rothenberger', 'Katrin Benedikt', 'Christian Gudegast', 'Chad St. John']","['Gerard Butler', 'Aaron Eckhart', 'Morgan Freeman', 'Alon Moni Aboutboul', 'Angela Bassett', 'Robert Forster', 'Jackie Earle Haley', 'Melissa Leo', 'Radha Mitchell', ""Sean O'Bryan"", 'Waleed Zuaiter']","['Paul Martin Smith', 'Michael Duthie']",Trevor Morris,"['Millennium Films', 'G-BASE']","['Creighton Rothenberger', 'Katrin Benedikt']","['Creighton Rothenberger', 'Katrin Benedikt']",60000000.0,205900000.0,Success,2016,,
Whiskey Tango Foxtrot,"['Glenn Ficarra', 'John Requa']","['Lorne Michaels', 'Tina Fey', 'Ian Bryce']",Xavier Grobet,United States,112.0,2016-03-04,Paramount Pictures,English,Robert Carlock,"['Tina Fey', 'Margot Robbie', 'Martin Freeman', 'Alfred Molina', 'Billy Bob Thornton']",Jan Kovac,Nick Urata,"['Broadway Video', 'Little Stranger']","['The Taliban Shuffle: Strange Days in Afghanistan and Pakistan', 'by Kim Barker']",,35000000.0,25400000.0,Failure,2016,,
The Other Side of the Door,Johannes Roberts,"['Alexandre Aja', 'Rory Aitken', 'Ben Pugh']",Maxime Alexandre,,95.0,2016-03-04,20th Century Fox,English,"['Ernest Riera', 'Johannes Roberts']","['Sarah Wayne Callies', 'Jeremy Sisto']",Baxter,Joseph Bishara,"['42', 'Fire Axe Pictures', 'TSG Entertainment']",,,5000000.0,14300000.0,Success,2016,,
Open Season: Scared Silly,David Feiss,John Bush,,United States,85.0,2015-12-18,Sony Pictures Home Entertainment,English,Carlos Kotkin,"['Donny Lucas', ' ', 'Will Townsend', 'Melissa Sturm', 'Trevor Devall', 'Garry Chalk', 'Kathleen Barr']",Maurissa Horwitz,"['Rupert Gregson-Williams', 'Dominic Lewis']",Sony Pictures Animation,"['Characters by', 'Steve Moore', 'John B. Carls', 'Jill Culton', 'Anthony Stacchi']","['Steve Barr', 'David Feiss', 'Stephan Franck', 'Paul McEvoy', 'John Norton', 'Kris Pearn']",5500000.0,1800000.0,Failure,2015,,
10 Cloverfield Lane,Dan Trachtenberg,"['J. J. Abrams', 'Lindsey Weber']",Jeff Cutter,United States,104.0,2016-03-08,Paramount Pictures,English,"['Josh Campbell', 'Matt Stuecken', 'Damien Chazelle']","['Mary Elizabeth Winstead', 'John Goodman', 'John Gallagher Jr.']",Stefan Grube,Bear McCreary,Bad Robot,,"['Josh Campbell', 'Matt Stuecken']",13000000.0,110200000.0,Success,2016,,
Grimsby,Louis Leterrier,"['Sacha Baron Cohen', 'Nira Park', 'Peter Baynham', 'Ant Hines', 'Todd Schulman']",Oliver Wood,,83.0,2016-02-24,Sony Pictures Releasing,English,"['Sacha Baron Cohen', 'Phil Johnston', 'Peter Baynham']","['Sacha Baron Cohen', 'Mark Strong', 'Isla Fisher', 'Rebel Wilson', 'Gabourey Sidibe', 'Penélope Cruz']","['James Thomas', 'Jonathan Amos', 'Debra Neil-Fisher', 'Evan Henke']","['Erran Baron Cohen', 'David Buckley']","['Columbia Pictures', 'Four By Two Films', 'Working Title Films', 'Big Talk Productions']",,"['Sacha Baron Cohen', 'Phil Johnston']",35000000.0,28000000.0,Failure,2016,,
The Young Messiah,Cyrus Nowrasteh,"['Michael Barnathan', 'Chris Columbus', 'Tracy K. Price', 'Mark Radcliffe', 'Mark W. Shaw']",Joel Ransom,,111.0,2016-03-11,Focus Features,,"['Cyrus Nowrasteh', 'Betsy Giffen Nowrasteh']","['Adam Greaves-Neal', 'Sean Bean', 'David Bradley', 'Lee Boardman', 'Jonathan Bailey', 'David Burke']",Geoffrey Rowland,John Debney,"['1492 Pictures', 'CJ Entertainment', 'Hyde Park International', 'Ocean Blue Entertainment']","['Christ the Lord: Out of Egypt', 'by ', 'Anne Rice']",,18500000.0,7300000.0,Failure,2016,,
The Perfect Match,Bille Woodruff,"['Yanelley Arty', 'Alex Avant', 'Johnson Chan', 'Shakim Compere', 'Douglas Shaffer']",Tommy Maddox-Upshaw,United States,96.0,2016-03-07,Lionsgate,English,"['Brandon Broussard', 'Gary Hardwick', 'Dana Verde']","['Terrence J', 'Cassie Ventura', 'Donald Faison', 'Dascha Polanco', 'Robert Christopher Riley', 'Lauren London', 'Joe Pantoliano', 'Paula Patton']",Michael Jablow,Kurt Farquhar,"['CodeBlack Films', 'Jorva Entertainment Productions', 'Flavor Unit Entertainment']",,,5000000.0,10400000.0,Failure,2016,,
"Hello, My Name Is Doris",Michael Showalter,"['Daniela Taplin Lundberg', 'Riva Marker', 'Daniel Crown', 'Jordana Mollick', 'Kevin Mann']",Brian Burgoyne,United States,90.0,2015-03-14,"['Roadside Attractions (United States)', 'Sony Pictures Releasing International (International)']",English,"['Laura Terruso', 'Michael Showalter']","['Sally Field', 'Max Greenfield', 'Beth Behrs', 'Wendi McLendon-Covey', 'Stephen Root', 'Elizabeth Reaser', 'Natasha Lyonne', 'Tyne Daly']",Robert Nassau,Brian H. Kim,"['Stage 6 Films', 'Red Crown Productions', 'Haven Entertainment']","['A short film', 'by Laura Terruso']",,1000000.0,14700000.0,Success,2015,,
Miracles from Heaven,Patricia Riggen,"['DeVon Franklin', 'T. D. Jakes', 'Joe Roth']",Checco Varese,United States,109.0,2016-02-21,Sony Pictures Releasing,English,Randy Brown,"['Jennifer Garner', 'Kylie Rogers', 'Martin Henderson', 'John Carroll Lynch', 'Eugenio Derbez', 'Queen Latifah']",Emma E. Hickox,Carlo Siliotto,"['Columbia Pictures', 'TriStar Pictures', 'Affirm Films', 'Roth Films', 'TDJ Enterprises', 'Franklin Entertainment']","['Miracles from Heaven', 'by Christy Beam']",,14000000.0,74000000.0,Success,2016,,
The Divergent Series: Allegiant,Robert Schwentke,"['Lucy Fisher', 'Pouya Shahbazian', 'Douglas Wick']",Florian Ballhaus,United States,121.0,2016-03-08,Lionsgate,English,"['Noah Oppenheim', 'Adam Cooper', 'Bill Collage']","['Shailene Woodley', 'Theo James', 'Jeff Daniels', 'Miles Teller', 'Ansel Elgort', 'Zoë Kravitz', 'Maggie Q', 'Ray Stevenson', 'Bill Skarsgård', 'Octavia Spencer', 'Naomi Watts']",Stuart Levy,Joseph Trapanese,"['Summit Entertainment', 'Red Wagon Entertainment', 'Mandeville Films']","['Allegiant', 'by ', 'Veronica Roth']",,110000000.0,179200000.0,Failure,2016,,
The Bronze,Bryan Buckley,Stephanie Langhoff,Scott Henriksen,United States,100.0,2015-01-22,Sony Pictures Classics,English,"['Melissa Rauch', 'Winston Rauch']","['Melissa Rauch', 'Gary Cole', 'Thomas Middleditch', 'Sebastian Stan', 'Cecily Strong', 'Haley Lu Richardson']",Jay Nelson,"['Andrew Feltenstein', 'John Nau']","['Stage 6 Films', 'Duplass Brothers Productions']",,,3500000.0,615816.0,Failure,2015,,
Midnight Special,Jeff Nichols,"['Sarah Green', 'Brian Kavanaugh-Jones']",Adam Stone,United States,112.0,2016-02-12,Warner Bros. Pictures,English,Jeff Nichols,"['Michael Shannon', 'Joel Edgerton', 'Kirsten Dunst', 'Adam Driver', 'Jaeden Martell', 'Sam Shepard']",Julie Monroe,David Wingo,"['Faliro House Productions', 'Tri-State Pictures', 'RatPac-Dune Entertainment']",,,18000000.0,7700000.0,Failure,2016,,
Batman v Superman: Dawn of Justice,Zack Snyder,"['Charles Roven', 'Deborah Snyder']",Larry Fong,United States,152.0,2016-03-19,Warner Bros. Pictures,English,"['Chris Terrio', 'David S. Goyer']","['Ben Affleck', 'Henry Cavill', 'Amy Adams', 'Jesse Eisenberg', 'Diane Lane', 'Laurence Fishburne', 'Jeremy Irons', 'Holly Hunter', 'Gal Gadot']",David Brenner,"['Hans Zimmer', 'Junkie XL']","['Warner Bros. Pictures', '', 'DC Entertainment', 'Atlas Entertainment', 'Cruel and Unusual Films']","['Characters', 'from ', 'DC']",,250000000.0,874400000.0,Success,2016,,
My Big Fat Greek Wedding 2,Kirk Jones,"['Gary Goetzman', 'Tom Hanks', 'Rita Wilson']",Jim Denault,United States,94.0,2016-03-15,Universal Pictures,English,Nia Vardalos,"['Nia Vardalos', 'John Corbett', 'Lainie Kazan', 'Gia Carides', 'Joey Fatone', 'Louis Mandylor', 'Andrea Martin', 'Michael Constantine']",Markus Czyzewski,Christopher Lennertz,"['Gold Circle Entertainment', 'Home Box Office', 'Playtone']",,,18000000.0,90600000.0,Success,2016,,
I Saw the Light,Marc Abraham,"['Marc Abraham', 'Aaron L. Gilbert', 'Brett Ratner', 'G. Marq Roswell']",Dante Spinotti,United States,123.0,2015-09-11,Sony Pictures Classics,English,Marc Abraham,"['Tom Hiddleston', 'Elizabeth Olsen', 'Cherry Jones', 'Bradley Whitford', 'Maddie Hasson', 'Wrenn Schmidt']",Alan Heim,Aaron Zigman,"['Bron Studios', 'CW Media Finance', 'RatPac Entertainment']","['Hank Williams: The Biography', 'by Colin Escott', 'George Merritt', 'William MacEwen']",,13000000.0,1800000.0,Failure,2015,,
Everybody Wants Some!!,Richard Linklater,"['Megan Ellison', 'Richard Linklater', 'Ginger Sledge']",Shane F. Kelly,United States,116.0,2016-03-11,Paramount Pictures,English,Richard Linklater,"['Will Brittain', 'Zoey Deutch', 'Ryan Guzman', 'Tyler Hoechlin', 'Blake Jenner', 'J. Quinton Johnson', 'Glen Powell', 'Wyatt Russell', 'Austin Amelio', 'Temple Baker', 'Tanner Kalina', 'Juston Street', 'Forrest Vickery']",Sandra Adair,,"['Annapurna Pictures', 'Detour Filmproduction']",,,10000000.0,5400000.0,Failure,2016,,
God's Not Dead 2,Harold Cronk,"['Elizabeth Hatcher-Travis', 'Brittany Lefebvre', 'Michael Scott', 'David A. R. White', 'Russell Wolfe', 'Matt Shapira', 'Nathan Wenban']",Brian Shanley,United States,120.0,2016-04-01,Pure Flix Entertainment,English,"['Chuck Konzelman', 'Cary Solomon']","['Melissa Joan Hart', 'Jesse Metcalfe', 'David A. R. White', 'Ernie Hudson', 'Hayley Orrantia', 'Robin Givens', 'Fred Dalton Thompson', 'Maria Canals-Barrera', 'Sadie Robertson', 'Pat Boone', 'Ray Wise']",Vance Null,Will Musser,Pure Flix,"['Characters created by', 'Rice Broocks']",,5000000.0,24500000.0,Success,2016,,
Meet the Blacks,Deon Taylor,"['Roxanne Avent', 'Shannon McIntosh', 'Deon Taylor']",John T. Connor,United States,93.0,2016-04-01,Freestyle Releasing,English,"['Deon Taylor', 'Nicole DeMasi']","['Mike Epps', 'Gary Owen', 'Zulay Henao', 'Bresha Webb', 'Lil Duval', 'King Bach', 'Charlie Murphy', 'George Lopez', 'Mike Tyson']","['Suzanne Hines', 'Patrick McMahon']",RZA,Hidden Empire Film Group,,,900000.0,9100000.0,Success,2016,,
The Boss,Ben Falcone,"['Melissa McCarthy', 'Ben Falcone', 'Will Ferrell', 'Adam McKay', 'Chris Henchy']",Julio Macat,United States,99.0,2016-03-21,Universal Pictures,English,"['Melissa McCarthy', 'Ben Falcone', 'Steve Mallory']","['Melissa McCarthy', 'Kristen Bell', 'Kathy Bates', 'Tyler Labine', 'Peter Dinklage']",Craig Alpert,Christopher Lennertz,"['Gary Sanchez Productions', 'On The Day Productions']",,,29000000.0,78800000.0,Success,2016,,
Hardcore Henry,Ilya Naishuller,"['Timur Bekmambetov', 'Inga Vainshtein Smith', 'Ilya Naishuller', 'Ekaterina Kononenko']","['Sergey Valyaev', 'Andrey Dementiev', 'Ilya Naishuller', 'Pasha Kapinos', 'Vsevolod Kaptur', 'Fedor Lyass']",,96.0,2015-09-12,"['Mirsand (Russia)', 'STXfilms (United States)']",,Ilya Naishuller,"['Sharlto Copley', 'Danila Kozlovsky', 'Haley Bennett', 'Svetlana Ustinova', 'Tim Roth']",Steve Mirkovich,Dasha Charusha,"['Huayi Brothers Pictures', 'Bazelevs', 'Versus Pictures']",,,2000000.0,16800000.0,Success,2015,,
Demolition,Jean-Marc Vallée,"['Lianne Halfon', 'Russ Smith', 'Molly Smith', 'Trent Luckinbill', 'Sidney Kimmel', 'Jean-Marc Vallée', 'Thad Luckinbill', 'John Malkovich']",Yves Bélanger,United States,101.0,2015-09-10,Fox Searchlight Pictures,English,Bryan Sipe,"['Jake Gyllenhaal', 'Naomi Watts', 'Chris Cooper', 'Judah Lewis']",Jay M. Glen,,"['Black Label Media', 'SKE Films', 'Mr. Mudd', 'TSG Entertainment']",,,10000000.0,4200000.0,Failure,2015,,
