Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status
We Bare Bears: The Movie,Daniel Chong,Carrie Wilksen,,United States,70,2020-06-30,Warner Bros. Television Distribution,English,"['Christina Chang', 'Daniel Chong', 'Alex Chiu', 'Manny Hernandez', 'Yvonne Hsuan Ho', 'Quinne Larsen', 'Sang Yup Lee', 'Sooyeon Lee', 'Charlie Parisi', 'Lauren Sassen', 'Sarah Sobole', 'Louie Zong']","['Eric Edelstein', 'Bobby Moynihan', 'Demetri Martin', 'Marc Evan Jackson', 'Keith Ferguson']",Tom Browngardt,Brad Breeck,Cartoon Network Studios,"['We Bare Bears', 'by Daniel Chong']","['Mikey Heller', 'Kris Mukai']",,,
Hamilton,Thomas Kail,"['Thomas Kail', 'Lin-Manuel Miranda', 'Jeffrey Seller']",Declan Quinn,United States,160,2020-07-03,Walt Disney Studios Motion Pictures,English,Lin-Manuel Miranda,"['Daveed Diggs', 'Renée Elise Goldsberry', 'Jonathan Groff', 'Christopher Jackson', 'Jasmine Cephas Jones', 'Lin-Manuel Miranda', 'Leslie Odom Jr.', 'Okieriete Onaodowan', 'Anthony Ramos', 'Phillipa Soo']",Jonah Moran,Lin-Manuel Miranda,"['Walt Disney Pictures', '5000 Broadway Productions', 'Nevis Productions', 'Old 320 Sycamore Pictures', 'RadicalMedia']","['Alexander Hamilton', 'by ', 'Ron Chernow']",,12500000.0,,
Relic,Natalie Erika James,"['Jake Gyllenhaal', 'Riva Marker', 'Anna McLeish', 'Sarah Shaw']",Charlie Sarroff,Australia United States,89,2020-01-25,"['Stan (Australia)', 'IFC Midnight (United States)']",English,"['Natalie Erika James', 'Christian White']","['Emily Mortimer', 'Robyn Nevin', 'Bella Heathcote']","['Denise Haratzis', 'Sean Lahiff']",Brian Reitzell,"['Screen Australia', 'Film Victoria', 'Nine Stories Productions', 'Gozie AGBO', 'Carver Films']",,,,3200000.0,
Desperados,LP,"['Nathan Kahane', 'Erin Westerman', 'Kelli Konop', 'Mason Novick', 'John Finemore', 'Elizabeth Grave']",Tim Orr,United States,105,2020-07-03,Netflix,English,Ellen Rapoport,"['Nasim Pedrad', 'Anna Camp', 'Lamorne Morris', 'Sarah Burns', 'Jessica Chaffin', 'Toby Grey', 'Mo Gaffney', 'Izzy Diaz', 'Robbie Amell', 'Heather Graham', 'Jessica Lowe']",Christian Hoffman,Mateo Messina,"['Good Universe', 'MXN Entertainment', 'Lost City']",,,,,
The Old Guard,Gina Prince-Bythewood,"['David Ellison', 'Dana Goldberg', 'Don Granger', 'Charlize Theron', 'A.J. Dix', 'Beth Kono', 'Marc Evans']","['Tami Reiker', 'Barry Ackroyd']",United States,125,2020-07-10,Netflix,English,Greg Rucka,"['Charlize Theron', 'KiKi Layne', 'Marwan Kenzari', 'Luca Marinelli', 'Harry Melling', 'Veronica Ngo', 'Matthias Schoenaerts', 'Chiwetel Ejiofor']",Terilyn A. Shropshire,"['Volker Bertelmann', ""Dustin O'Halloran""]","['Skydance', 'Denver and Delilah Productions', 'Marc Evans Productions']","['Greg Rucka', 'Leandro Fernández']",,70000000.0,,
Money Plane,Andrew Lawrence,"['Richard Switzer', 'Tyler W. Konney']",Pasha Patriki,United States,82,2020-07-10,Quiver Distribution,English,"['Andrew Lawrence', 'Tim Schaaf']","['Adam Copeland', 'Kelsey Grammer', 'Thomas Jane', 'Denise Richards']",Austin Nordell,David Bateman,"['Taylor & Dodge Entertainment', ""Dawn's Light Productions""]",,"['Richard Switzer', 'Tyler W. Konney']",586443.0,618.0,Failure
Greyhound,Aaron Schneider,Gary Goetzman,Shelly Johnson,United States,91,2020-07-10,"['Apple TV+', 'Sony Pictures Entertainment']",English,Tom Hanks,"['Tom Hanks', 'Stephen Graham', 'Rob Morgan', 'Elisabeth Shue']","['Mark Czyzewski', 'Sidney Wolinsky']",Blake Neely,"['Stage 6 Films', 'FilmNation Entertainment', 'Bron Creative', 'Zhengfu Pictures', 'Playtone', 'Sycamore Pictures']","['The Good Shepherd', 'by ', 'C. S. Forester']",,50300000.0,,
Palm Springs,Max Barbakow,"['Andy Samberg', 'Akiva Schaffer', 'Becky Sloviter', 'Jorma Taccone', 'Chris Parker', 'Dylan Sellers']",Quyen Tran,United States,90,2020-01-26,"['Hulu', 'Neon']",English,Andy Siara,"['Andy Samberg', 'Cristin Milioti', 'J. K. Simmons']","['Matthew Friedman', 'Andrew Dickler']",Matthew Compton,"['Limelight Productions', 'Lonely Island Classics', 'Sun Entertainment']",,"['Andy Siara', 'Max Barbakow']",5000000.0,1500000.0,Failure
Fatal Affair,Peter Sullivan,"['Barry Barnholtz', 'Nia Long', 'Jeffrey Schenck', 'Peter Sullivan', 'Brian Nolan']",Eitan Almagor,United States,89,2020-07-16,Netflix,English,"['Rasheeda Garner', 'Peter Sullivan']","['Nia Long', 'Omar Epps', 'Stephen Bishop', 'KJ Smith']",Randy Carter,Matthew Janszen,['Hybrid Films'],,,,,
The Silencing,Robin Pront,Cybill Lui Eppich,Manuel Dacosse,,93,2020-07-16,Saban Films,English,Micah Ranum,"['Nikolaj Coster-Waldau', 'Annabelle Wallis', 'Hero Fiennes Tiffin', 'Zahn McClarnon', 'Melanie Scrofano']",Alain Dessauvage,"['Brooke Blair', 'Will Blair']","['Anova Pictures', 'XYZ Films']",,,,170653.0,
A Nice Girl Like You,"['Chris Riedell', 'Nick Riedell']","['Jina Panebianco', 'Nicholas Bogner', 'Melanie Greene']",Nico Van den Berg,United States,94,2020-07-17,Vertical Entertainment,English,Andrea Marcellus,"['Lucy Hale', 'Leonidas Gulaptis', 'Mindy Cohn', 'Adhir Kalyan', 'Jackie Cruz']",Jeffrey J. Castelluccio,Aaron Zigman,"['SPR Media', 'CaliWood Pictures', 'Affirmative Entertainment']","['Pornology', 'by ', 'Ayn Carrillo Gailey']",,,,
Ghosts of War,Eric Bress,"['D. Todd Shepherd', 'Shelley Madison', 'Joe Simpson']",Lorenzo Senatore,United Kingdom,94,2020-06-18,Vertical Entertainment,English,Eric Bress,"['Brenton Thwaites', 'Theo Rossi', 'Skylar Astin', 'Kyle Gallner', 'Alan Ritchson', 'Billy Zane', 'Shaun Toub']",Peter Amundson,Michael Suby,"['Miscellaneous Entertainment', 'Highland Film Group', 'Ingenious Media']",,,,345289.0,
Animal Crackers,"['Scott Christian Sava', 'Tony Bancroft']","['Scott Christian Sava', 'George Lee', 'Marcus Englefield', 'Jamie Thomason', 'Leiming Guan', 'Jaime Maestro', 'Nathalie Martinez', 'Ty Accornero']",,,105,2017-06-12,Netflix,English,"['Scott Christian Sava', 'Dean Lorey']","['Emily Blunt', 'John Krasinski', 'Danny DeVito', 'Ian McKellen', 'Sylvester Stallone', 'Patrick Warburton', 'Raven-Symoné', 'Harvey Fierstein', 'Wallace Shawn', 'Gilbert Gottfried', 'Tara Strong', 'James Arnold Taylor', 'Kevin Grevioux', 'Lydia Rose Taylor']",Ximo Romero,Bear McCreary,"['Blue Dream Studios', 'Storyoscopic Films', ""Odin's Eye Animation"", 'Mayday Movie Productions', 'Beijing Wen Hua Dongrun Investment Co.', 'China Film Group Corporation']",,,17000000.0,14000000.0,Failure
The Kissing Booth 2,Vince Marcello,"['Ed Glauser', 'Andrew Cole-Bulgin', 'Vince Marcello', 'Michele Weisler']",Anastas Michos,United States,131,2020-07-24,Netflix,English,"['Vince Marcello', 'Jay Arnold']","['Joey King', 'Joel Courtney', 'Jacob Elordi', 'Taylor Zakhar Perez', 'Maisie Richardson-Sellers', 'Meganne Young', 'Molly Ringwald']",Paul Millspaugh,Patrick Kirst,"['Picture Loom Productions', 'Clearblack Films', 'Komixx Entertainment']","['The Kissing Booth', 'by ', 'Beth Reekles']",,,,
The Rental,Dave Franco,"['Dave Franco', 'Elizabeth Haggard', 'Teddy Schwarzman', 'Ben Stillman', 'Joe Swanberg', 'Christopher Storer']",Christian Sprenger,United States,88,2020-06-18,"['IFC Films (United States)', 'STXfilms (International)']",English,"['Dave Franco', 'Joe Swanberg']","['Dan Stevens', 'Alison Brie', 'Sheila Vand', 'Jeremy Allen White', 'Toby Huss']",Kyle Reiter,"['Danny Bensi', 'Saunder Jurriaans']",Black Bear Pictures,,"['Dave Franco', 'Joe Swanberg', 'Mike Demski']",3500000.0,4300000.0,Failure
Black Is King,"['Beyoncé', 'Emmanuel Adjei', 'Blitz Bazawule', 'Pierre Debusschere', 'Jenn Nkiru', 'Ibra Ake', 'Dikayl Rimmasch', 'Jake Nava']","['Jeremy Sullivan', 'Jimi Adesanya', 'Blitz Bazawule', 'Ben Cooper', 'Astrid Edwards', 'Durwin Julies', 'Yoli Mes', 'Dafe Oboro', 'Akin Omotoso', 'Will Whitney', 'Lauren Baker', 'Jason Baum', 'Alex Chamberlain', 'Robert Day', 'Christophe Faubert', 'Brien Justiniano', 'Rethabile Molatela Mothobi', 'Sylvia Zakhary', 'Nathan Scherrer', 'Erinn Williams']","['Ryan Marie Helfant', 'Mohammaed Atta Ahmed', 'Michael Fernandez', 'Danny Hiele', 'Nicolai Niermann', 'Malik Sayeed', 'Santiago Gonzalez', 'David Boanuh', 'Erik Henriksson', 'Laura Merians', 'Kenechukwu Obiajulu', 'Benoit Soler']",United States,85,2020-07-31,Disney+,English,"['Beyoncé', 'Yrsa Daley-Ward', 'Clover Hope', 'Andrew Morrow']","['Beyoncé', 'Folajomi Akinmurele', 'Connie Chiume', 'Nyaniso Ntsikelelo Dzedze', 'Nandi Madida', 'Warren Masemola', 'Sibusiso Mbeje', 'Fumi Odede', 'Stephen Ojo', 'Mary Twala']","['Andrew Morrow', 'Maria-Celeste Garrahan', 'Haines Hall', 'Tom Watson']","['James William Blades', 'MeLo-X', 'Derek Dixie']","['Walt Disney Pictures', 'Parkwood Entertainment']",['The Lion King: The Gift'],,,,
The Secret: Dare to Dream,Andy Tennant,"['Rhonda Byrne', 'Robert W. Cort', 'Joe Gelchion', 'Matthew George', 'Robert Katz']",Andrew Dunn,United States,107,2020-07-31,"['Lionsgate', 'Roadside Attractions', 'Gravitas Ventures']",English,"['Andy Tennant', 'Bekah Brunstetter', 'Rick Parks']","['Katie Holmes', 'Josh Lucas', ""Jerry O'Connell"", 'Celia Weston']",Troy Takaki,George Fenton,"['Savvy Media Holdings', 'Robert Cort Productions', 'Covert Media', 'Illumination Productions', 'Shine Box', 'Tri G']","['The Secret', 'by ', 'Rhonda Byrne']",,9200000.0,3200000.0,Failure
Summerland,Jessica Swale,"['Guy Heeley', 'Adrian Sturges']",Laurie Rose,United Kingdom,99,2020-07-31,Lionsgate UK,English,Jessica Swale,"['Gemma Arterton', 'Gugu Mbatha-Raw', 'Lucas Bond', 'Dixie Egerickx', 'Siân Phillips', 'Penelope Wilton', 'Tom Courtenay']",Tania Reddin,Volker Bertelmann,"['Shoebox Films', 'Iota Films']",,,,1118941.0,
She Dies Tomorrow,Amy Seimetz,"['Amy Seimetz', 'David Lawson', 'Aaron Moorhead', 'Justin Benson']",Jay Keitel,United States,84,2020-07-31,Neon,English,Amy Seimetz,"['Kate Lyn Sheil', 'Jane Adams', 'Kentucker Audley', 'Katie Aselton', 'Chris Messina', 'Tunde Adebimpe', 'Jennifer Kim', 'Olivia Taylor Dudley', 'Michelle Rodriguez', 'Josh Lucas', 'Adam Wingard']",Kate Brokaw,Mondo Boys,Rustic Films,,,,398663.0,
An American Pickle,Brandon Trost,"['Seth Rogen', 'Evan Goldberg', 'James Weaver']",John Guleserian,United States,89,2020-08-06,Warner Bros. Pictures,English,Simon Rich,"['Seth Rogen', 'Sarah Snook']",Lisa Zeno Churgin,"['Michael Giacchino (original themes)', 'Nami Melumad (score)']","['Sony Pictures Entertainment', 'Warner Max', 'Point Grey Pictures']","['""Sell Out""', 'by Simon Rich']",,20000000.0,499649.0,Failure
The Tax Collector,David Ayer,"['Chris Long', 'David Ayer', 'Tyler Thompson', 'Matt Antoun']",Salvatore Totino,United States,95,2020-07-30,RLJE Films,English,David Ayer,"['George Lopez', 'Shia LaBeouf']",Geoffrey O'Brien,Michael Yezerski,"['Cross Creek Pictures', 'Cedar Park Entertainment', 'iWood Studios', 'Atwater Capital']",,,4000000.0,1300000.0,Failure
Waiting for the Barbarians,Ciro Guerra,"['Monika Bacardi', 'Michael Fitzgerald', 'Andrea Iervolino', 'Olga Segura']",Chris Menges,,112,2019-09-06,"['Samuel Goldwyn Films', ' (United States)', 'Iervolino Entertainment (Italy)']",,J. M. Coetzee,"['Mark Rylance', 'Johnny Depp', 'Robert Pattinson', 'Gana Bayarsaikhan', 'Greta Scacchi']",Jacopo Quadri,Giampiero Ambrosi,"['Iervolino Entertainment', 'AMBI Group']","['Waiting for the Barbarians', 'by J. M. Coetzee']",,,764815.0,
Project Power,"['Henry Joost', 'Ariel Schulman']","['Eric Newman', 'Bryan Unkeless']",Michael Simmonds,United States,114,2020-08-14,Netflix,English,Mattson Tomlin,"['Jamie Foxx', 'Joseph Gordon-Levitt', 'Dominique Fishback', 'Rodrigo Santoro', 'Colson Baker', 'Allen Maldonado', 'Amy Landecker', 'Courtney B. Vance']",Jeff McEvoy,Joseph Trapanese,"['Screen Arcade', 'Supermarche']",,,85100000.0,,
The SpongeBob Movie: Sponge on the Run,Tim Hill,Ryan Harris,Peter Lyons Collister,United States,91,2020-08-14,"['Paramount Pictures (Canada and China)', 'Paramount+ (United States)']",English,Tim Hill,"['Tom Kenny', 'Awkwafina', 'Matt Berry', 'Clancy Brown', 'Rodger Bumpass', 'Snoop Dogg', 'Bill Fagerbakke', 'Tiffany Haddish', 'Carolyn Lawrence', 'Mr. Lawrence', 'Keanu Reeves', 'Danny Trejo', 'Reggie Watts']",Michael W. Andrews,"['Hans Zimmer', 'Steve Mazzaro']","['Paramount Animation', 'Nickelodeon Movies', 'United Plankton Pictures', 'MRC']","['SpongeBob SquarePants', 'by ', 'Stephen Hillenburg']","['Tim Hill', 'Jonathan Aibel Glenn Berger']",60000000.0,4800000.0,Failure
Magic Camp,Mark Waters,['Suzanne Todd'],Theo van de Sande,United States,100,2020-08-14,Walt Disney Studios Motion Pictures,English,"['Micah Fitzerman-Blue', 'Noah Harpster', 'Matt Spicer', 'Max Winkler', 'Dan Gregor', 'Doug Mand']","['Adam DeVine', 'Jeffrey Tambor', 'Gillian Jacobs']","['Bruce Green', 'Robert Malina']",Rolfe Kent,"['Walt Disney Pictures', 'Team Todd']",,"['Gabe Sachs', 'Jeff Judah', 'Matt Spicer', 'Max Winkler']",24000000.0,,
Spree,Eugene Kotlyarenko,"['Matthew Budman', 'Sumaiya Kaveh', 'Eugene Kotlyarenko', 'John H. Lang']",Jeff Leeds Cohn,United States,93,2020-01-24,RLJE Films,English,"['Eugene Kotlyarenko', 'Gene McHugh']","['Joe Keery', 'Sasheer Zamata', 'Mischa Barton', 'John DeLuca', 'Josh Ovalle', 'Lala Kent', 'Frankie Grande', 'Kyle Mooney', 'David Arquette']",Benjamin Moses Smith,James Ferraro,"['Forest Hill Entertainment', 'DreamCrew', 'SuperBloom']",,,,43840.0,
Boys State,"['Jesse Moss', 'Amanda McBaine']","['Amanda McBaine', 'Jesse Moss']",Thorsten Thielow,United States,109,2020-01-24,['Apple TV+'],English,,,Jeff Seymann Gilbert,T. Griffin,"['A24', 'Concordia Studio', 'Mile End Films']",,,,,
The One and Only Ivan,Thea Sharrock,"['Angelina Jolie', 'Allison Shearmur', 'Brigham Taylor']",Florian Ballhaus,United States,95,2020-08-21,Walt Disney Studios Motion Pictures,English,Mike White,"['Sam Rockwell', 'Angelina Jolie', 'Danny DeVito', 'Helen Mirren', 'Ramón Rodríguez', 'Ariana Greenblatt', 'Bryan Cranston']",Barney Pilling,Craig Armstrong,"['Walt Disney Pictures', 'Jolie Pas Productions']","['The One and Only Ivan', 'by ', 'Katherine Applegate']",,,,
Unhinged,Derrick Borte,"['Lisa Ellzey', 'Andrew Gunn', 'Mark Gill']",Brendan Galvin,United States,93,2020-07-16,Solstice Studios,English,Carl Ellsworth,"['Russell Crowe', 'Caren Pistorius', 'Gabriel Bateman', 'Jimmi Simpson', 'Austin P. McKenzie']","['Steve Mirkovich', 'Michael McCusker', 'Tim Mirkovich']",David Buckley,"['Ingenious Media', 'Burek Films']",,,33000000.0,44300000.0,Failure
Tesla,Michael Almereyda,"['Michael Almereyda', 'Uri Singer', 'Christa Campbell', 'Isen Robbins', 'Lati Grobman', 'Per Melita', 'Elijah Long']",Sean Price Williams,United States,102,2020-01-27,IFC Films,English,Michael Almereyda,"['Ethan Hawke', 'Eve Hewson', 'Ebon Moss-Bachrach', 'Jim Gaffigan', 'Kyle MacLachlan']",Kathryn J. Schubert,John Paesano,"['Passage Pictures', 'BB Film Production', 'Campbell Grobman Films', 'Intrinsic Value Films', 'RNG Entertainment Oy', 'Millennium Media']",,,,459051.0,
Cut Throat City,RZA,"['William Clevinger', 'Sean Lydiard', 'Elliott Michael Smith', 'Michael Mendelsohn', 'Kyle Tekiela']",Brandon Cox,United States,123,2020-08-21,Well Go USA Entertainment,English,Paul Cuschieri,"['Shameik Moore', 'Demetrius Shipp Jr.', 'Denzel Whitaker', 'Keean Johnson', 'Kat Graham', 'T.I.', 'Terrence Howard', 'Rob Morgan', 'Eiza González', 'Ethan Hawke', 'Wesley Snipes']","[""Joe D'Augustine"", 'Chris Berkenkamp']","['Dhani Harrison', 'Paul Hicks']","['Rumble Riot Pictures', 'Patriot Pictures', 'XYZ Films']",,,8900000.0,864928.0,Failure
Words on Bathroom Walls,Thor Freudenthal,"['Pete Shilaimon', 'Mickey Liddell', 'Thor Freudenthal']",Michael Goi,United States,111,2020-08-21,Roadside Attractions,English,Nick Naveda,"['Charlie Plummer', 'Andy García', 'Taylor Russell', 'AnnaSophia Robb', 'Beth Grant', 'Molly Parker', 'Walton Goggins']",Peter McNulty,"['The Chainsmokers', 'Andrew Hollander']","['LD Entertainment', 'Kick the Habit Productions']","['Words on Bathroom Walls', 'by Julia Walton']",,9300000.0,3100000.0,Failure
Hard Kill,Matt Eskandari,"['Randall Emmett', 'George Furla', 'Shaun Sanghani', 'Alex Eckert', 'Tim Sullivan', 'Mark Stewart']",Bryan Koss,United States,98,2020-08-21,Vertical Entertainment,English,"['Joe Russo', 'Chris LaMont']","['Jesse Metcalfe', 'Bruce Willis', 'Natalie Eva Marie', 'Lala Kent', 'Texas Battle', 'Swen Temmel', 'Sergio Rizzulto', 'Tyler Jon Olson', 'Jon Galanis']",R.J. Cooper,Rhyan D'Errico,"['Emmett Furla Oasis Films', 'SSS Entertainment', 'BondIt Media Capital', 'River Bay Films']",,"['Nikolai From', 'Clayton Haugen']",,111523.0,
Chemical Hearts,Richard Tanne,"['Richard Tanne', 'Alex Saks']",Albert Salas,United States,93,2020-08-21,Amazon Studios,English,Richard Tanne,"['Lili Reinhart', 'Austin Abrams']",JC Bond,Stephen James Taylor,"['Page Fifty-Four Pictures', 'Awesomeness Films', 'Big Indie Pictures']","['Our Chemical Hearts', 'by Krystal Sutherland']",,,,
Bill & Ted Face the Music,Dean Parisot,"['Scott Kroopf', 'Alex Lebovici', 'David Haring', 'Steve Ponce', 'Ed Solomon', 'Alex Winter']",Shelly Johnson,United States,91,2020-08-28,United Artists Releasing,English,"['Chris Matheson', 'Ed Solomon']","['Keanu Reeves', 'Alex Winter', 'Kristen Schaal', 'Samara Weaving', 'Brigette Lundy-Paine', 'Anthony Carrigan', 'Erinn Hayes', 'Jayma Mays', 'Holland Taylor', 'Kid Cudi', 'William Sadler', 'Jillian Bell']",Don Zimmerman,Mark Isham,"['Orion Pictures', 'Endeavor Content', 'Hammerstone Studios']","['Chris Matheson', 'Ed Solomon']",,25000000.0,6300000.0,Failure
The New Mutants,Josh Boone,"['Karen Rosenfelt', 'Lauren Shuler Donner', 'Simon Kinberg']",Peter Deming,United States,94,2020-08-28,20th Century Studios,English,"['Josh Boone', 'Knate Lee']","['Maisie Williams', 'Anya Taylor-Joy', 'Charlie Heaton', 'Alice Braga', 'Blu Hunt', 'Henry Zaga', 'Adam Beach']","['Robb Sullivan', 'Matthew Rundell', 'Andrew Buckland']",Mark Snow,"['20th Century Studios', 'Marvel Entertainment', 'Kinberg Genre', 'Sunswept Entertainment', 'TSG Entertainment']","['Chris Claremont', 'Bob McLeod']",,67000000.0,49200000.0,Failure
The Personal History of David Copperfield,Armando Iannucci,"['Armando Iannucci', 'Kevin Loader']",Zac Nicholson,,119,2019-09-05,"['Lionsgate (United Kingdom)', 'Searchlight Pictures (North America)']",English,"['Simon Blackwell', 'Armando Iannucci']","['Dev Patel', 'Aneurin Barnard', 'Peter Capaldi', 'Morfydd Clark', 'Daisy May Cooper', 'Rosalind Eleazar', 'Hugh Laurie', 'Tilda Swinton', 'Ben Whishaw', 'Paul Whitehouse']","['Mick Audsley', 'Peter Lambert']",Christopher Willis,"['FilmNation Entertainment', 'Film4']","['David Copperfield', 'by ', 'Charles Dickens']",,15600000.0,14400000.0,Failure
I'm Thinking of Ending Things,Charlie Kaufman,"['Anthony Bregman', 'Charlie Kaufman', 'Robert Salerno', 'Stefanie Azpiazu']",Łukasz Żal,United States,134,2020-08-28,Netflix,English,Charlie Kaufman,"['Jesse Plemons', 'Jessie Buckley', 'Toni Collette', 'David Thewlis']",Robert Frazen,Jay Wadley,"['Likely Story', 'Projective Testing Service']","[""I'm Thinking of Ending Things"", 'by ', 'Iain Reid']",,,,
Phineas and Ferb the Movie: Candace Against the Universe,Bob Bowen,Brandi Young,,United States,85,2020-08-27,Disney Platform Distribution,English,"['Dan Povenmire', 'Jeff ""Swampy"" Marsh', 'Jon Colton Barry', 'Jim Bernstein', 'Joshua Pruett', 'Kate Kondell', 'Jeffrey M. Howard', 'Bob Bowen']","['Ashley Tisdale', 'Vincent Martella', 'David Errigo Jr.', 'Jeff ""Swampy"" Marsh', 'Tyler Mann', 'Bobby Gaylor', 'Maulik Pancholy', 'Dan Povenmire', 'Alyson Stoner', 'Dee Bradley Baker', 'Ali Wong', 'Tiffany Haddish', 'Caroline Rhea', ""Richard O'Brien""]",Anne Harting,Danny Jacob,Disney Television Animation,"['Phineas and Ferb', 'by Dan Povenmire', 'Jeff ""Swampy"" Marsh']",,,,
All Together Now,Brett Haley,"['Ellen Goldsmith-Vein', 'Lee Stollman', 'Isaac Klausner', 'Marty Bowen']",Rob C. Givens,United States,92,2020-08-28,Netflix,English,"['Matthew Quick', 'Brett Haley', 'Marc Basch']","['Auliʻi Cravalho', 'Rhenzy Feliz', 'Judy Reyes', 'Justina Machado', 'Taylor Richardson', 'C.S. Lee', 'Anthony Jacques Jr.', 'Gerald Issac Waters', 'Fred Armisen', 'Carol Burnett']",Mollie Goldstein,Keegan DeWitt,"['Gotham Group', 'Thunderhead Pictures']","['Sorta Like a Rockstar', 'by Matthew Quick']",,,,
Rogue,M. J. Bassett,"['Kyle Ambrose', 'Delon Bakker', 'M. J. Bassett', 'Molly Hassell']",Brendan Barnes,United States,105,2020-08-28,Lionsgate,English,"['M. J. Bassett', 'Isabel Bassett']","['Megan Fox', 'Philip Winchester']","['Andrew MacRitchie', 'David Wigram']","['Jack Halama', 'Scott Shields']","['Grindstone Entertainment Group', 'Mannequin Pictures', 'M-Net', 'Capstone Pictures']",,,,242884.0,
Centigrade,Brendan Walsh,"['Amanda Bowers', 'Molly Conners', 'Vincent Morano', 'Keri Nakamoto', 'Jane Oster', 'Bradley J. Ross', 'Brendan Walsh']",Seamus Tierney,United States,97,2020-08-28,IFC Midnight,English,"['Daley Nixon', 'Brendan Walsh']","['Genesis Rodriguez', 'Vincent Piazza']",Bradley J. Ross,"['Trey Toy', 'Matthew Wang']","Manhattan Productions, Phiphen Pictures",,Daley Nixon,1000000.0,31808.0,Failure
Fátima,Marco Pontecorvo,"['Gerardo Fernandes', 'James T. Volk', 'Dick Lyles', 'Stefano Buono', 'Maribel Lopera Sierra', 'Marco Pontecorvo', 'Rose Ganguzza', 'Natasha Howes']",Vincenzo Carpineta,,,2020-08-28,Picturehouse,English,"['Barbara Nicolosi', 'Marco Pontecorvo', ""Valerio D'Annunzio""]","['Joaquim de Almeida', 'Goran Višnjić', 'Stephanie Gil', 'Alejandra Howard', 'Jorge Lamelas', 'Lúcia Moniz', ""Marco d'Almeida"", 'Joana Ribeiro', 'Harvey Keitel', 'Sônia Braga']",Alessio Doglione,,"['Origin Entertainment', 'Elysia Productions', 'Rose Pictures']",,Barbara Nicolosi,,537904.0,
